refYear,flowCode,partnerCode,primaryValue,iso3
2000,M,702,3788597964.0,SGP
2000,M,703,1185258.0,SVK
2000,M,704,303309237.0,VNM
2000,M,705,4133145.0,SVN
2000,M,710,162554963.0,ZAF
2000,M,716,15389775.0,ZWE
2000,M,724,184677608.0,ESP
2000,M,736,15052266.0,SDN
2000,M,740,8790.0,SUR
2000,M,748,6309333.0,SWZ
2000,M,752,217390063.0,SWE
2000,M,757,189879884.0,CHE
2000,M,760,15294348.0,SYR
2000,M,764,1109059605.0,THA
2000,M,768,9012848.0,TGO
2000,M,772,56157.0,TKL
2000,M,780,586677.0,TTO
2000,M,784,193833957.0,ARE
2000,M,788,7588489.0,TUN
2000,M,792,36255752.0,TUR
2000,M,795,2286851.0,TKM
2000,M,796,15886.0,TCA
2000,M,800,1048727.0,UGA
2000,M,804,107421277.0,UKR
2000,M,807,33.0,MKD
2000,M,818,12179839.0,EGY
2000,M,826,557332441.0,GBR
2000,M,834,15887584.0,TZA
2000,M,842,3392763513.0,USA
2000,M,854,3692082.0,BFA
2000,M,858,1695106.0,URY
2000,M,860,9523631.0,UZB
2000,M,862,5177565.0,VEN
2000,M,882,6336.0,WSM
2000,M,887,969216.0,YEM
2000,M,891,196383.0,SCG
2000,M,894,4198001.0,ZMB
2000,X,0,62124006936.0,W00
2000,X,4,6647549.0,AFG
2000,X,8,1997750.0,ALB
2000,X,12,26940037.0,DZA
2000,X,16,2935157.0,ASM
2000,X,20,194693.0,AND
2000,X,24,18347415.0,AGO
2000,X,28,1108983.0,ATG
2000,X,31,408404.0,AZE
2000,X,32,76986576.0,ARG
2000,X,36,1519365939.0,AUS
2000,X,40,26864749.0,AUT
2000,X,44,376328.0,BHS
2000,X,48,17585074.0,BHR
2000,X,50,241945047.0,BGD
2000,X,51,396369.0,ARM
2000,X,52,1238266.0,BRB
2000,X,56,836953238.0,BEL
2000,X,60,599941.0,BMU
2000,X,64,51181.0,BTN
2000,X,68,1106776.0,BOL
2000,X,70,419212.0,BIH
2000,X,72,262479.0,BWA
2000,X,76,241034338.0,BRA
2000,X,84,358994.0,BLZ
2000,X,86,3200445.0,IOT
2000,X,90,929858.0,SLB
2000,X,92,464257.0,VGB
2000,X,96,25511538.0,BRN
2000,X,100,54148821.0,BGR
2000,X,104,64752620.0,MMR
2000,X,108,719940.0,BDI
2000,X,112,83059.0,BLR
2000,X,116,51679846.0,KHM
2000,X,120,7481681.0,CMR
2000,X,124,403912922.0,CAN
2000,X,132,163171.0,CPV
2000,X,136,382421.0,CYM
2000,X,140,561018.0,CAF
2000,X,144,179304215.0,LKA
2000,X,148,315664.0,TCD
2000,X,152,84734701.0,CHL
2000,X,156,2767707562.0,CHN
2000,X,162,264604.0,CXR
2000,X,166,522037.0,CCK
2000,X,170,38678429.0,COL
2000,X,174,2056879.0,COM
2000,X,178,14158715.0,COG
2000,X,180,4776267.0,COD
2000,X,184,425396.0,COK
2000,X,188,9376731.0,CRI
2000,X,191,2525799.0,HRV
2000,X,192,1901788.0,CUB
2000,X,196,25697666.0,CYP
2000,X,203,20651590.0,CZE
2000,X,204,15249547.0,BEN
2000,X,208,135312407.0,DNK
2000,X,212,3045796.0,DMA
2000,X,214,23511387.0,DOM
2000,X,218,15678267.0,ECU
2000,X,222,6301289.0,SLV
2000,X,226,339613.0,GNQ
2000,X,231,5061650.0,ETH
2000,X,232,4954452.0,ERI
2000,X,233,1075056.0,EST
2000,X,234,4230134.0,FRO
2000,X,238,609247.0,FLK
2000,X,239,120831.0,SGS
2000,X,242,11890386.0,FJI
2000,X,246,139906709.0,FIN
2000,X,251,729598591.0,FRA
2000,X,258,4458055.0,PYF
2000,X,262,15814628.0,DJI
2000,X,266,2734642.0,GAB
2000,X,268,10853675.0,GEO
2000,X,270,4831887.0,GMB
2000,X,275,1275674.0,PSE
2000,X,276,1443127393.0,DEU
2000,X,288,20748472.0,GHA
